许我一生,袁娅维TIA RAY,0.0585
Summer Sky,HENRY刘宪华,0.8121
全世界会唱的歌,陶喆,0.7437
#63EBE9,刘雨昕,29.5
源力宇宙 Roar Like The Tiger,AcQUA 源少年,0.0932
苏三起解,李翊君,0.5341
Endless Summer,Alan Walker /Zak Abel,1.2
GOOD GOOD LOVE,孟佳,1.4
爱河人间（Official Lyric Video）,罗大佑,0.746
Never Let You Down,77Ke 柯棨棋,0.2719
321看,何炅 /檀健次 /王鹤棣 /秦霄贤 /李雪琴 /丁程鑫 /杨迪 /吴泽林,8.0
（……睡美人）（feat. 严俊杰）,吴青峰,0.8823
滚烫的我,张磊 /旦增尼玛 /扎西平措 /邢晗铭 /伍珂玥 /梁玉莹 /斯丹曼簇 /谭轩辕 /潘虹 /王泓昊,0.8807
自以为feat.萧秉治,阎奕格 /萧秉治,0.1735
星光(《命运方舟》启航主题曲),张靓颖,4.0
二中中二日记,摩登兄弟刘宇宁,4.8
醉拳,汪苏泷,3.8
不熄,陈楚生 /张远,1.2
KNOCKOUT,孟佳,2.1
那束光,孙楠,0.8508
Summer Wave,ザ・おめでたズ,0.4856
男人哭吧不是罪,刘德华 /王宝强,2.7
不去管,胡彦斌,1.1
像我们从前,王心凌,3.0
长安三万里,罗大佑,1.8
温泉仙子,王小玮,0.4452
如许,周深,32.1
宿命相逢,钟汉良,1.8
灿烂灿烂,陆虎 /王栎鑫 /张远,1.5
P.Y.T,马思唯 /艾志恒Asen,2.3
Hate Rodrigo (Feat.YUQI ((G)I-DLE)),YENA (崔叡娜) /宋雨琦,16.2
外人,萧秉治 /五月天,3.8
问灵,萨顶顶,2.3
Don't Waste My Love (feat. 娄峻硕),派伟俊 /娄峻硕,0.4465
碎梦,胡彦斌,1.2
灰姑娘,刘至佳,0.6364
Barbie World (with Aqua),Nicki Minaj /Ice Spice /Aqua,1.5
笼,张碧晨,223.2
那一天,鞠婧祎,6.1
血河,黄霄雲,1.3
