那些你熟悉却又不知道名字的轻音乐,10625
自然之音/沉浸大自然 静谧与美好之中,20
治愈纯音｜人间温柔 聆听时光静好,19
纯净轻音｜人间温柔 聆听岁月静好,7.0491
治愈纯音｜人间温柔 聆听时光静好,3.2779
『动漫社』欢迎赏欣！生活趣味小边角,8.3473
【德语】莱茵河畔之风拂过心田,42
♩日推宝藏！来和甜妹跳舞吧！2023年5月25日,7.3662
国人雷鬼 Ι 探索不拘一格的玩性洒脱,155
日系绝望|向往天空的，都是寂寞的,3.2909
深情布鲁斯，浓情老酒馆。,2139
法语爵士|红酒与玫瑰浪漫邂逅,530
300支后摇乐队，300种感性共鸣,549
深度睡眠 |重度失眠者专用歌单,7335
治愈日系 •邂逅夏天 追逐纯真浪漫,0.4043
【古典音乐】治疗焦虑症的良药,1555
钢琴后摇 I 初雪点地，窸窣低语,618
提琴后摇 I 颅内盛宴，思绪狂欢,357
小酒馆的微醺需要腔调和情怀,2544
日系温柔女声| 沐浴在歌声中的暖阳下,2158
日本人气唱见，每人一首良曲,2863
黑胶唱片机|微醺情调耳边低语,187
软萌合唱｜让可愛治愈这个世界,201
「Cool Jazz」冷爵士让你全身心放松,377
【柔情且缠绵】那些迷死人的意大利男人们,264
"〖唯美纯音〗不需要歌词,也可以打动你的心",6062
東方抒情集：一梦华胥 永眠不散之宴,373
「造语歌」穿透灵魂 如唱诗般空灵唯美♪,1370
复古慵懒 | 当经典摇滚被爵士如此演绎,198
東方钢琴祭：幻梦终醒 本无不散之宴,526
黑胶酒馆|耳畔的浪漫眼中的你,886
100首华语民谣，因为懂得才有共鸣,3730
纯音 | 静淌时隙悄然掠过 | 助眠,261
45度角仰望天空才是听朋克的正确姿势,342
Bossa Nova｜聆听热情桑巴中的慵懒时光,179
